night_date,timestamp,outdoor_temperature,outdoor_humidity,precipitation,wind_speed,inside_temperature,inside_humidity,sleep time,sleep_stage,sleep_score,elapsed_min,stage_numeric
2026-02-26,2026-02-27 00:32:00,11.35,85,3.45,5.66,20.8,53,4.8,Core,3,0.0,2
2026-02-26,2026-02-27 00:47:00,11.22,86,0.85,7.2,20.8,52,4.8,Deep,4,15.0,3
2026-02-26,2026-02-27 01:02:00,11.17,86,0.86,7.2,20.8,52,4.8,Deep,4,30.0,3
2026-02-26,2026-02-27 01:17:00,11.14,87,0.38,5.66,20.7,51,4.8,Core,3,45.0,2
2026-02-26,2026-02-27 01:32:00,11.09,87,0.56,5.66,20.7,51,4.8,REM,2,60.0,1
2026-02-26,2026-02-27 01:47:00,11.02,87,0.56,5.66,20.7,51,4.8,Core,3,75.0,2
2026-02-26,2026-02-27 02:02:00,10.94,87,0.14,5.66,20.4,51,4.8,Deep,4,90.0,3
2026-02-26,2026-02-27 02:17:00,10.79,88,0.3,6.17,20.3,51,4.8,Core,3,105.0,2
2026-02-26,2026-02-27 02:32:00,10.79,87,0.53,6.17,20.2,51,4.8,REM,2,120.0,1
2026-02-26,2026-02-27 02:47:00,10.76,88,1.15,4.47,20.1,51,4.8,Core,3,135.0,2
2026-02-26,2026-02-27 03:02:00,10.57,88,1.28,4.02,20.1,51,4.8,REM,2,150.0,1
2026-02-26,2026-02-27 03:17:00,10.6,88,0.75,5.36,20.1,52,4.8,Core,3,165.0,2
2026-02-26,2026-02-27 03:32:00,10.6,89,0.32,5.14,20.0,52,4.8,REM,2,180.0,1
2026-02-26,2026-02-27 03:48:00,10.46,89,0.37,4.02,20.0,52,4.8,Core,3,196.0,2
2026-02-26,2026-02-27 04:03:00,10.55,89,0.21,3.6,20.0,53,4.8,REM,2,211.0,1
2026-02-26,2026-02-27 04:18:00,10.44,89,0.16,5.14,20.0,53,4.8,Core,3,226.0,2
2026-02-26,2026-02-27 04:33:00,10.49,89,0.18,5.14,20.0,53,4.8,REM,2,241.0,1
2026-02-26,2026-02-27 04:48:00,10.49,89,0.0,5.14,20.0,53,4.8,Core,3,256.0,2
2026-02-26,2026-02-27 05:03:00,10.49,89,0.0,5.14,20.0,53,4.8,REM,2,271.0,1
2026-02-26,2026-02-27 05:18:00,10.4,89,0.24,5.14,20.0,53,4.8,Core,3,286.0,2
2026-02-27,2026-02-28 01:35:00,9.68,89,0.0,2.06,20.2,57,6.5,Core,3,0.0,2
2026-02-27,2026-02-28 01:50:00,9.66,89,0.0,2.57,20.3,57,6.5,Deep,4,15.0,3
2026-02-27,2026-02-28 02:05:00,9.61,89,0.0,2.57,20.3,57,6.5,Deep,4,30.0,3
