night_date,sleep_duration_h,mean_sleep_score,pct_deep,pct_core,pct_rem,mean_stage_numeric,outdoor_temperature_mean,outdoor_temperature_std,outdoor_temperature_min,outdoor_temperature_max,outdoor_humidity_mean,outdoor_humidity_std,outdoor_humidity_min,outdoor_humidity_max,precipitation_mean,precipitation_std,precipitation_min,precipitation_max,wind_speed_mean,wind_speed_std,wind_speed_min,wind_speed_max,inside_temperature_mean,inside_temperature_std,inside_temperature_min,inside_temperature_max,inside_humidity_mean,inside_humidity_std,inside_humidity_min,inside_humidity_max
2026-02-26,4.8,2.8,15.0,50.0,35.0,1.8,10.768,0.304,10.4,11.35,87.8,1.24,85,89,0.614,0.757,0.0,3.45,5.368,0.926,3.6,7.2,20.285,0.331,20.0,20.8,51.95,0.887,51,53
2026-02-27,6.5,2.76,12.0,52.0,36.0,1.76,8.983,0.622,7.02,9.68,90.4,1.225,89,92,0.466,1.353,0.0,4.91,2.581,1.297,1.03,6.69,20.236,0.122,20.0,20.4,55.64,1.114,54,57
2026-02-28,8.7,2.771,11.4,54.3,34.3,1.771,8.479,0.769,7.82,10.29,85.714,2.739,82,91,0.0,0.0,0.0,0.0,3.882,0.616,3.09,5.14,18.803,0.394,18.5,19.8,48.086,2.801,44,52
2026-03-01,6.3,2.88,16.0,56.0,28.0,1.88,9.218,0.325,8.85,9.72,80.76,0.597,79,81,0.0,0.0,0.0,0.0,4.275,0.772,2.68,5.66,18.632,0.075,18.5,18.8,48.32,2.34,45,52
2026-03-02,7.38,2.793,10.3,58.6,31.0,1.793,7.15,0.46,6.47,8.05,88.793,1.292,86,91,0.0,0.0,0.0,0.0,0.883,0.386,0.0,1.54,19.859,0.351,19.4,20.4,51.379,0.728,50,52
2026-03-03,9.0,2.889,11.1,66.7,22.2,1.889,6.475,0.152,6.19,6.82,90.583,1.857,87,95,0.0,0.0,0.0,0.0,3.52,0.626,2.06,4.63,20.094,0.794,18.6,20.8,48.222,1.588,45,50
2026-03-04,5.35,2.857,14.3,57.1,28.6,1.857,6.022,0.233,5.65,6.51,91.571,1.886,88,95,0.0,0.0,0.0,0.0,2.4,0.375,1.54,3.09,20.724,0.482,19.9,21.5,49.857,2.496,48,55
2026-03-05,6.6,3.115,26.9,57.7,15.4,2.115,9.328,0.468,8.77,10.42,86.846,1.912,82,89,0.0,0.0,0.0,0.0,1.048,0.536,0.51,2.06,21.558,0.284,21.1,22.0,47.346,0.485,47,48
2026-03-06,5.97,3.083,25.0,58.3,16.7,2.083,7.037,0.188,6.7,7.38,91.375,1.279,90,95,0.0,0.0,0.0,0.0,2.525,0.406,2.06,3.09,21.575,0.549,20.9,22.6,44.333,0.816,43,45
2026-03-07,7.82,2.774,12.9,51.6,35.5,1.774,6.923,0.191,6.57,7.17,92.032,1.197,91,95,0.0,0.0,0.0,0.0,2.49,0.384,2.06,3.09,22.039,0.334,21.5,22.7,47.484,0.508,47,48
2026-03-08,7.6,2.733,10.0,53.3,36.7,1.733,7.678,0.263,7.34,8.16,93.233,0.728,92,94,0.0,0.0,0.0,0.0,4.218,0.694,3.6,5.66,21.083,0.31,20.7,21.7,44.8,0.484,43,45
2026-03-09,5.57,2.909,18.2,54.5,27.3,1.909,7.81,0.314,7.44,8.28,90.409,0.908,89,92,0.0,0.0,0.0,0.0,1.871,0.256,1.54,2.06,21.277,0.579,20.5,22.1,46.455,0.51,46,47
2026-03-10,8.12,2.906,18.8,53.1,28.1,1.906,9.049,0.286,8.35,9.74,90.469,0.803,88,92,0.0,0.0,0.0,0.0,2.614,1.037,1.54,5.14,20.3,0.144,20.1,20.7,49.156,0.369,49,50
2026-03-11,7.37,2.828,13.8,55.2,31.0,1.828,9.804,0.402,9.14,10.46,86.966,4.617,77,92,0.051,0.113,0.0,0.42,5.716,0.966,2.68,7.2,19.586,0.274,19.2,20.0,47.966,1.592,46,51
