timestamp,outdoor_temperature,outdoor_humidity,precipitation,wind_speed,inside_temperature,inside_humidity,sleep time,sleep_stage,sleep_score
2026/2/28 1:35,9.68,89,0,2.06,20.2,57,6.5,Core,3
2026/2/28 1:50,9.66,89,0,2.57,20.3,57,6.5,Deep,4
2026/2/28 2:05,9.61,89,0,2.57,20.3,57,6.5,Deep,4
2026/2/28 2:20,9.4,89,0,3.6,20.4,57,6.5,Core,3
2026/2/28 2:35,9.38,89,0,3.6,20.4,57,6.5,Deep,4
2026/2/28 2:50,9.36,89,0,2.24,20.4,57,6.5,Core,3
2026/2/28 3:05,9.28,89,0,2.06,20.4,57,6.5,REM,2
2026/2/28 3:20,9.28,89,0,2.06,20.3,57,6.5,Core,3
2026/2/28 3:35,9.28,89,0,2.06,20.3,56,6.5,REM,2
2026/2/28 3:50,9.16,90,0,1.54,20.3,56,6.5,Core,3
2026/2/28 4:05,9.2,91,0.56,1.54,20.3,56,6.5,REM,2
2026/2/28 4:20,9.16,91,0.18,2.06,20.3,56,6.5,Core,3
2026/2/28 4:35,9.2,91,0,2.06,20.3,55,6.5,Core,3
2026/2/28 4:50,9.15,91,0,1.03,20.3,55,6.5,REM,2
2026/2/28 5:05,9.15,92,0,1.03,20.2,55,6.5,Core,3
2026/2/28 5:20,9.15,92,1.15,1.54,20.2,55,6.5,REM,2
2026/2/28 5:35,9.15,92,4.86,1.54,20.2,55,6.5,Core,3
2026/2/28 5:50,9.07,92,4.91,1.03,20.2,55,6.5,Core,3
2026/2/28 6:05,8.9,92,0,2.68,20.2,55,6.5,REM,2
2026/2/28 6:20,8.76,92,0,3.58,20.2,55,6.5,Core,3
2026/2/28 6:35,8.45,91,0,4.02,20.1,55,6.5,REM,2
2026/2/28 6:50,8.25,91,0,4.12,20.1,54,6.5,Core,3
2026/2/28 7:05,8.03,91,0,4.12,20,54,6.5,REM,2
2026/2/28 7:20,7.85,90,0,6.69,20,54,6.5,Core,3
2026/2/28 7:35,7.02,90,0,3.13,20,54,6.5,REM,2
